                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.96941,                0.55782,                 1.0032,                0.99353,                      1,                  0.995,                0.72791,                0.94931,                0.50143,                 1.0078,              0.0012252,              0.0012252,              0.0012252
                     36,                 1.0558,                0.54187,                 1.0113,                0.99034,                      1,                  0.995,                0.73847,                0.94443,                0.48898,                 1.0013,               0.001256,               0.001256,               0.001256
                     37,                0.98845,                0.52184,                0.97913,                0.99034,                      1,                  0.995,                0.73847,                0.94443,                0.48898,                 1.0013,              0.0012866,              0.0012866,              0.0012866
                     38,                 1.0622,                 0.5296,                0.96839,                0.98572,                      1,                  0.995,                0.74933,                0.97201,                0.48609,                 1.0052,              0.0013169,              0.0013169,              0.0013169
                     39,                  1.037,                  0.546,                 1.0232,                0.98835,                      1,                  0.995,                0.73909,                0.99851,                0.48819,                 1.0075,              0.0013469,              0.0013469,              0.0013469
                     40,                0.92329,                0.47878,                0.98478,                0.98835,                      1,                  0.995,                0.73909,                0.99851,                0.48819,                 1.0075,              0.0013767,              0.0013767,              0.0013767
                     41,                 1.0466,                0.51419,                 1.0343,                0.97783,                0.98003,                0.99457,                0.73488,                      1,                0.49211,                 1.0095,              0.0014062,              0.0014062,              0.0014062
                     42,                0.94625,                0.50084,                0.96692,                0.97288,                      1,                0.99457,                0.74283,                0.95555,                0.49811,                 1.0019,              0.0014354,              0.0014354,              0.0014354
                     43,                0.95935,                0.55117,                 1.0181,                0.97288,                      1,                0.99457,                0.74283,                0.95555,                0.49811,                 1.0019,              0.0014644,              0.0014644,              0.0014644
                     44,                 0.9865,                0.53126,                0.98082,                0.97507,                      1,                0.99457,                0.75019,                0.90177,                0.48224,                0.98953,              0.0014931,              0.0014931,              0.0014931
                     45,                0.99052,                0.51366,                 1.0053,                0.97507,                      1,                0.99457,                0.75019,                0.90177,                0.48224,                0.98953,              0.0015215,              0.0015215,              0.0015215
                     46,                0.91705,                0.50272,                0.94511,                0.97527,                      1,                0.99457,                0.73995,                0.91311,                0.47019,                0.99673,              0.0015497,              0.0015497,              0.0015497
                     47,                0.98606,                0.56264,                 1.0412,                0.97527,                      1,                0.99457,                0.73995,                0.91311,                0.47019,                0.99673,              0.0015777,              0.0015777,              0.0015777
                     48,                0.91745,                0.52217,                 1.0168,                 0.9746,                      1,                0.99457,                0.73363,                 0.9386,                 0.4626,                 1.0058,              0.0016053,              0.0016053,              0.0016053
                     49,                 1.0198,                0.53678,                 1.0164,                 0.9746,                      1,                0.99457,                0.73363,                 0.9386,                 0.4626,                 1.0058,              0.0016327,              0.0016327,              0.0016327
                     50,                0.97536,                0.53836,                 1.0144,                      1,                0.99009,                  0.995,                0.73149,                0.94379,                0.44572,                 1.0062,              0.0016598,              0.0016598,              0.0016598
                     51,                 1.0186,                0.56089,                0.99256,                      1,                0.99009,                  0.995,                0.73149,                0.94379,                0.44572,                 1.0062,                0.00167,                0.00167,                0.00167
                     52,                 1.0271,                 0.5643,                 1.0255,                0.97664,                      1,                0.99457,                0.75976,                0.91893,                0.44972,                0.99164,                0.00167,                0.00167,                0.00167
                     53,                0.92926,                0.48896,                 1.0204,                0.97664,                      1,                0.99457,                0.75976,                0.91893,                0.44972,                0.99164,              0.0016634,              0.0016634,              0.0016634
                     54,                0.94429,                0.50496,                0.97963,                0.97694,                      1,                0.99457,                0.74749,                0.91059,                0.46043,                0.98217,              0.0016568,              0.0016568,              0.0016568
