                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.76326,                0.54778,                0.90277,                0.99887,                      1,                  0.995,                0.81335,                0.72112,                0.47805,                0.87311,              0.0016766,              0.0016766,              0.0016766
                     52,                0.77569,                0.55356,                0.91434,                0.99862,                      1,                  0.995,                0.83001,                0.68921,                0.48657,                0.86225,                0.00167,                0.00167,                0.00167
                     53,                0.74431,                0.52638,                0.91489,                0.99879,                      1,                  0.995,                0.83605,                0.66402,                0.46793,                0.85534,              0.0016634,              0.0016634,              0.0016634
                     54,                0.73636,                0.56045,                0.93324,                0.99882,                      1,                  0.995,                0.83112,                0.66189,                0.46142,                0.85565,              0.0016568,              0.0016568,              0.0016568
                     55,                0.79153,                0.55426,                 0.9415,                0.99862,                      1,                  0.995,                0.82812,                0.67899,                0.47807,                0.86027,              0.0016502,              0.0016502,              0.0016502
                     56,                0.75149,                0.54584,                0.93614,                0.99871,                      1,                  0.995,                0.81583,                0.71363,                0.49374,                0.86912,              0.0016436,              0.0016436,              0.0016436
                     57,                0.75178,                0.54186,                0.93944,                0.99855,                      1,                  0.995,                0.82008,                0.71588,                0.48162,                0.87045,               0.001637,               0.001637,               0.001637
                     58,                0.76411,                0.56255,                0.93493,                0.99874,                      1,                  0.995,                0.83322,                0.68663,                0.46803,                0.85699,              0.0016304,              0.0016304,              0.0016304
                     59,                0.77519,                0.57118,                0.93934,                 0.9987,                      1,                  0.995,                0.84917,                0.65794,                0.45884,                0.84762,              0.0016238,              0.0016238,              0.0016238
                     60,                0.81553,                0.55612,                 0.9547,                0.99887,                      1,                  0.995,                0.83435,                0.64939,                0.43987,                0.84641,              0.0016172,              0.0016172,              0.0016172
                     61,                0.69798,                0.51805,                0.91731,                0.99884,                      1,                  0.995,                0.83817,                 0.6572,                0.43822,                0.84967,              0.0016106,              0.0016106,              0.0016106
                     62,                0.75683,                0.53862,                0.96023,                0.99871,                      1,                  0.995,                0.83957,                0.69215,                 0.4484,                 0.8592,               0.001604,               0.001604,               0.001604
                     63,                0.84287,                0.52987,                0.92636,                0.99855,                      1,                  0.995,                0.83431,                0.68229,                0.46175,                0.85495,              0.0015974,              0.0015974,              0.0015974
                     64,                0.72642,                0.52431,                0.91415,                0.99849,                      1,                  0.995,                0.84315,                0.65583,                0.46558,                0.84741,              0.0015908,              0.0015908,              0.0015908
                     65,                0.77127,                0.51821,                0.92689,                0.99835,                      1,                  0.995,                0.84098,                0.65096,                0.46355,                0.84665,              0.0015842,              0.0015842,              0.0015842
                     66,                0.81866,                 0.5395,                0.95153,                0.99869,                      1,                  0.995,                0.82884,                0.66194,                0.44592,                0.84954,              0.0015776,              0.0015776,              0.0015776
                     67,                0.81425,                0.51665,                0.92562,                0.99876,                      1,                  0.995,                0.81708,                0.67542,                 0.4517,                0.85543,               0.001571,               0.001571,               0.001571
                     68,                 0.7709,                0.52085,                0.92708,                0.99877,                      1,                  0.995,                0.82175,                0.67526,                0.45877,                0.85499,              0.0015644,              0.0015644,              0.0015644
                     69,                0.86458,                0.56514,                0.98523,                0.99882,                      1,                  0.995,                0.81964,                  0.659,                0.44712,                 0.8502,              0.0015578,              0.0015578,              0.0015578
                     70,                0.78231,                0.51997,                0.96926,                0.99888,                      1,                  0.995,                0.83537,                0.62319,                 0.4547,                0.83873,              0.0015512,              0.0015512,              0.0015512
                     71,                 0.8331,                0.55403,                 0.9496,                0.99879,                      1,                  0.995,                0.84579,                0.61264,                0.46597,                0.83449,              0.0015446,              0.0015446,              0.0015446
                     72,                0.77836,                0.52616,                0.93517,                0.99883,                      1,                  0.995,                0.84982,                0.62035,                0.46073,                0.83342,               0.001538,               0.001538,               0.001538
                     73,                0.74604,                0.50948,                0.92578,                0.99881,                      1,                  0.995,                0.84405,                0.62794,                0.43979,                0.83306,              0.0015314,              0.0015314,              0.0015314
                     74,                  0.732,                0.49829,                0.90575,                0.99888,                      1,                  0.995,                0.84204,                0.61888,                0.42907,                0.83182,              0.0015248,              0.0015248,              0.0015248
                     75,                0.70982,                0.47541,                0.90532,                0.99884,                      1,                  0.995,                0.83846,                0.62294,                0.43563,                0.83704,              0.0015182,              0.0015182,              0.0015182
                     76,                0.76733,                0.51279,                0.96331,                0.99885,                      1,                  0.995,                0.83863,                0.64447,                0.43811,                 0.8468,              0.0015116,              0.0015116,              0.0015116
                     77,                0.70273,                0.45165,                0.88511,                0.99889,                      1,                  0.995,                0.85422,                0.60901,                0.42223,                0.83819,               0.001505,               0.001505,               0.001505
                     78,                0.76666,                0.51114,                0.92702,                0.99887,                      1,                  0.995,                0.85577,                0.59788,                0.42791,                0.83415,              0.0014984,              0.0014984,              0.0014984
                     79,                0.69785,                0.45773,                0.91715,                0.99878,                      1,                  0.995,                0.85348,                0.62267,                0.41762,                0.83914,              0.0014918,              0.0014918,              0.0014918
                     80,                0.72794,                0.46924,                0.93094,                0.99876,                      1,                  0.995,                 0.8661,                0.61575,                0.41074,                0.83756,              0.0014852,              0.0014852,              0.0014852
                     81,                0.72064,                0.45621,                0.91853,                0.99877,                      1,                  0.995,                0.85529,                0.60205,                0.39227,                0.83463,              0.0014786,              0.0014786,              0.0014786
                     82,                0.65605,                0.45572,                0.90891,                0.99884,                      1,                  0.995,                0.85492,                0.61837,                0.38772,                 0.8359,               0.001472,               0.001472,               0.001472
                     83,                0.67523,                0.48315,                0.94942,                0.99883,                      1,                  0.995,                 0.8412,                0.64283,                0.39304,                0.83956,              0.0014654,              0.0014654,              0.0014654
                     84,                 0.7466,                0.45561,                 0.9248,                 0.9988,                      1,                  0.995,                0.85359,                0.63361,                0.39805,                0.83552,              0.0014588,              0.0014588,              0.0014588
                     85,                0.72003,                0.45559,                0.89475,                0.99887,                      1,                  0.995,                  0.854,                 0.6272,                0.39909,                0.83277,              0.0014522,              0.0014522,              0.0014522
                     86,                0.68769,                0.45762,                0.90677,                0.99885,                      1,                  0.995,                 0.8521,                0.67233,                0.40069,                0.83969,              0.0014456,              0.0014456,              0.0014456
                     87,                0.71241,                0.43604,                0.90823,                0.99888,                      1,                  0.995,                0.86238,                 0.6762,                0.39929,                0.84064,               0.001439,               0.001439,               0.001439
                     88,                0.76107,                0.46966,                0.92761,                0.99891,                      1,                  0.995,                0.87312,                0.62516,                0.39281,                0.83417,              0.0014324,              0.0014324,              0.0014324
                     89,                0.74575,                0.45563,                0.97155,                0.99879,                      1,                  0.995,                0.85748,                0.59298,                 0.3972,                0.83152,              0.0014258,              0.0014258,              0.0014258
                     90,                0.64506,                0.44569,                0.89111,                0.99879,                      1,                  0.995,                0.85192,                0.60513,                0.39349,                0.83585,              0.0014192,              0.0014192,              0.0014192
                     91,                 0.8013,                0.48829,                0.92633,                0.99882,                      1,                  0.995,                0.84301,                0.63315,                0.39351,                0.83986,              0.0014126,              0.0014126,              0.0014126
                     92,                0.82578,                0.48759,                0.92091,                0.99886,                      1,                  0.995,                0.84591,                0.66577,                0.39647,                0.84581,               0.001406,               0.001406,               0.001406
                     93,                0.76755,                0.47377,                0.93292,                0.99885,                      1,                  0.995,                0.84404,                0.66711,                0.39877,                0.84416,              0.0013994,              0.0013994,              0.0013994
                     94,                0.73545,                0.45243,                0.92654,                0.99891,                      1,                  0.995,                0.85029,                0.63273,                0.39214,                 0.8351,              0.0013928,              0.0013928,              0.0013928
                     95,                0.77716,                0.48146,                0.91756,                0.99884,                      1,                  0.995,                0.84869,                0.62028,                0.39411,                0.83067,              0.0013862,              0.0013862,              0.0013862
                     96,                 0.7366,                0.45162,                0.95373,                0.99888,                      1,                  0.995,                0.85482,                0.61039,                0.38552,                0.83004,              0.0013796,              0.0013796,              0.0013796
                     97,                0.75807,                0.46939,                0.94184,                0.99883,                      1,                  0.995,                0.86195,                0.58759,                0.38158,                0.82466,               0.001373,               0.001373,               0.001373
                     98,                0.75949,                0.46917,                0.93643,                0.99868,                      1,                  0.995,                0.87749,                0.57993,                0.38784,                0.82586,              0.0013664,              0.0013664,              0.0013664
                     99,                0.73803,                 0.4363,                 0.8902,                0.99867,                      1,                  0.995,                 0.8373,                0.64658,                0.39998,                0.84266,              0.0013598,              0.0013598,              0.0013598
                    100,                 0.6765,                0.43851,                0.90628,                0.99878,                      1,                  0.995,                0.82219,                0.68198,                0.40308,                0.85257,              0.0013532,              0.0013532,              0.0013532
                    101,                0.71267,                 0.4395,                0.91573,                0.99888,                      1,                  0.995,                0.83289,                0.65461,                0.39361,                0.84477,              0.0013466,              0.0013466,              0.0013466
                    102,                0.74292,                0.45258,                0.89139,                0.99886,                      1,                  0.995,                0.84162,                0.60307,                0.38005,                0.82914,                0.00134,                0.00134,                0.00134
                    103,                 0.6949,                0.42687,                0.89769,                0.99884,                      1,                  0.995,                0.85517,                0.57814,                0.36267,                0.82234,              0.0013334,              0.0013334,              0.0013334
                    104,                0.65246,                0.41365,                 0.8999,                0.99888,                      1,                  0.995,                 0.8535,                0.58624,                0.35544,                0.82414,              0.0013268,              0.0013268,              0.0013268
                    105,                 0.7026,                0.43216,                0.92237,                0.99887,                      1,                  0.995,                0.86369,                0.58857,                0.34999,                0.82578,              0.0013202,              0.0013202,              0.0013202
                    106,                0.69263,                0.42375,                 0.9241,                0.99879,                      1,                  0.995,                0.86587,                0.57361,                0.35701,                0.82432,              0.0013136,              0.0013136,              0.0013136
                    107,                0.63829,                0.40541,                0.89912,                0.99888,                      1,                  0.995,                0.86354,                0.56558,                0.35935,                0.82255,               0.001307,               0.001307,               0.001307
                    108,                0.68565,                0.43272,                0.90987,                0.99894,                      1,                  0.995,                0.85709,                0.57951,                0.35724,                0.82645,              0.0013004,              0.0013004,              0.0013004
                    109,                0.64762,                0.41209,                 0.8747,                0.99886,                      1,                  0.995,                 0.8486,                0.58875,                0.36073,                0.82751,              0.0012938,              0.0012938,              0.0012938
                    110,                0.62878,                0.41657,                0.89176,                0.99887,                      1,                  0.995,                0.85396,                0.58042,                0.36268,                 0.8238,              0.0012872,              0.0012872,              0.0012872
                    111,                 0.6973,                0.44452,                0.90666,                0.99889,                      1,                  0.995,                0.85852,                0.58147,                0.35725,                0.82366,              0.0012806,              0.0012806,              0.0012806
                    112,                0.64701,                0.43222,                0.91883,                0.99893,                      1,                  0.995,                0.84989,                0.56941,                0.34849,                0.82443,               0.001274,               0.001274,               0.001274
                    113,                0.65269,                0.40823,                  0.878,                0.99895,                      1,                  0.995,                0.85881,                0.56154,                0.34112,                0.82479,              0.0012674,              0.0012674,              0.0012674
                    114,                0.64458,                 0.4225,                0.89956,                0.99895,                      1,                  0.995,                0.86497,                0.56642,                 0.3475,                0.82542,              0.0012608,              0.0012608,              0.0012608
                    115,                0.68701,                0.44225,                0.90784,                0.99895,                      1,                  0.995,                0.86844,                0.56221,                0.35237,                0.82282,              0.0012542,              0.0012542,              0.0012542
                    116,                0.61632,                0.41806,                0.88745,                0.99894,                      1,                  0.995,                0.89513,                0.54727,                0.34195,                0.81918,              0.0012476,              0.0012476,              0.0012476
                    117,                0.66677,                0.42581,                0.91418,                0.99896,                      1,                  0.995,                0.89109,                0.55674,                0.33883,                0.81928,               0.001241,               0.001241,               0.001241
                    118,                0.68494,                0.41775,                0.89753,                0.99894,                      1,                  0.995,                0.89011,                0.56189,                0.33872,                0.82057,              0.0012344,              0.0012344,              0.0012344
                    119,                 0.6442,                0.43312,                0.90132,                0.99893,                      1,                  0.995,                0.87383,                0.55332,                0.33737,                   0.82,              0.0012278,              0.0012278,              0.0012278
                    120,                0.68604,                0.42493,                0.92044,                 0.9989,                      1,                  0.995,                0.86383,                0.54496,                0.32412,                0.81833,              0.0012212,              0.0012212,              0.0012212
                    121,                0.59243,                0.39699,                0.88293,                0.99886,                      1,                  0.995,                0.86686,                0.55161,                0.32645,                0.81958,              0.0012146,              0.0012146,              0.0012146
                    122,                0.59926,                 0.3833,                0.87151,                0.99887,                      1,                  0.995,                0.86812,                0.55763,                0.32962,                0.82106,               0.001208,               0.001208,               0.001208
                    123,                0.66173,                0.40786,                0.91698,                0.99889,                      1,                  0.995,                0.86684,                0.55086,                0.33937,                0.81876,              0.0012014,              0.0012014,              0.0012014
                    124,                0.62239,                0.39077,                0.87823,                 0.9989,                      1,                  0.995,                0.86722,                0.55342,                0.34221,                0.81774,              0.0011948,              0.0011948,              0.0011948
                    125,                0.63376,                0.39631,                0.88552,                0.99887,                      1,                  0.995,                 0.8636,                0.54823,                0.34494,                0.81414,              0.0011882,              0.0011882,              0.0011882
                    126,                0.65509,                0.39941,                 0.8798,                0.99883,                      1,                  0.995,                 0.8603,                0.54314,                0.33638,                0.81074,              0.0011816,              0.0011816,              0.0011816
                    127,                0.68212,                0.45614,                0.93383,                0.99881,                      1,                  0.995,                0.85889,                0.54431,                0.33772,                0.81152,               0.001175,               0.001175,               0.001175
                    128,                0.68833,                0.41401,                0.91573,                0.99882,                      1,                  0.995,                 0.8688,                0.54315,                0.34463,                0.81444,              0.0011684,              0.0011684,              0.0011684
                    129,                0.65783,                0.40735,                0.90488,                0.99884,                      1,                  0.995,                0.87847,                0.53773,                0.35044,                 0.8165,              0.0011618,              0.0011618,              0.0011618
                    130,                0.68152,                0.40964,                0.91615,                0.99884,                      1,                  0.995,                0.89182,                0.54062,                0.34752,                0.81824,              0.0011552,              0.0011552,              0.0011552
                    131,                 0.6607,                0.41642,                 0.9195,                0.99888,                      1,                  0.995,                0.88181,                0.53729,                0.33746,                0.81733,              0.0011486,              0.0011486,              0.0011486
                    132,                0.61036,                0.39985,                0.89875,                0.99898,                      1,                  0.995,                0.88073,                 0.5338,                0.33283,                0.81291,               0.001142,               0.001142,               0.001142
                    133,                0.62959,                0.38475,                0.87196,                0.99898,                      1,                  0.995,                0.87625,                0.55306,                0.33698,                0.81647,              0.0011354,              0.0011354,              0.0011354
                    134,                0.64437,                0.40146,                0.90571,                0.99896,                      1,                  0.995,                0.86365,                0.56258,                0.33526,                0.81856,              0.0011288,              0.0011288,              0.0011288
                    135,                0.68363,                0.43053,                0.90637,                0.99893,                      1,                  0.995,                0.86564,                0.54689,                0.33454,                0.81283,              0.0011222,              0.0011222,              0.0011222
                    136,                0.63605,                0.38803,                  0.914,                0.99886,                      1,                  0.995,                0.87406,                0.53212,                 0.3274,                0.80947,              0.0011156,              0.0011156,              0.0011156
                    137,                 0.6615,                0.39579,                0.87825,                0.99882,                      1,                  0.995,                0.88444,                0.53231,                0.32926,                0.81028,               0.001109,               0.001109,               0.001109
                    138,                0.60728,                0.39199,                0.89628,                0.99879,                      1,                  0.995,                0.88341,                0.52971,                0.32411,                0.80951,              0.0011024,              0.0011024,              0.0011024
                    139,                0.69991,                 0.4239,                0.91789,                 0.9988,                      1,                  0.995,                0.88715,                0.51381,                0.31512,                 0.8061,              0.0010958,              0.0010958,              0.0010958
                    140,                0.59238,                0.38072,                0.86913,                0.99881,                      1,                  0.995,                0.88304,                0.52435,                0.31173,                0.81008,              0.0010892,              0.0010892,              0.0010892
                    141,                0.61738,                0.37551,                0.89486,                0.99879,                      1,                  0.995,                0.87726,                0.53546,                0.31831,                0.81348,              0.0010826,              0.0010826,              0.0010826
                    142,                0.61569,                0.37736,                 0.8955,                0.99879,                      1,                  0.995,                0.87656,                0.53298,                 0.3219,                0.81378,               0.001076,               0.001076,               0.001076
                    143,                0.57751,                0.36298,                0.86686,                0.99884,                      1,                  0.995,                0.88289,                0.51906,                0.31946,                0.81213,              0.0010694,              0.0010694,              0.0010694
                    144,                0.68206,                0.39804,                0.93913,                 0.9989,                      1,                  0.995,                0.88064,                0.50365,                0.32323,                0.80956,              0.0010628,              0.0010628,              0.0010628
                    145,                0.62644,                0.38686,                0.90372,                0.99894,                      1,                  0.995,                0.88897,                0.50325,                0.32061,                0.80956,              0.0010562,              0.0010562,              0.0010562
                    146,                0.64329,                0.39109,                0.89294,                0.99897,                      1,                  0.995,                0.88628,                0.50692,                0.32002,                0.80998,              0.0010496,              0.0010496,              0.0010496
                    147,                0.61931,                0.38072,                0.92253,                0.99899,                      1,                  0.995,                0.89457,                  0.507,                0.31963,                 0.8086,               0.001043,               0.001043,               0.001043
                    148,                0.62397,                0.38796,                 0.9114,                0.99896,                      1,                  0.995,                0.89092,                0.50942,                0.32347,                0.80812,              0.0010364,              0.0010364,              0.0010364
                    149,                0.59474,                0.37171,                  0.927,                0.99887,                      1,                  0.995,                0.88505,                0.50811,                  0.318,                0.80912,              0.0010298,              0.0010298,              0.0010298
                    150,                0.61588,                0.38301,                0.88334,                0.99884,                      1,                  0.995,                0.88611,                0.50691,                0.31392,                0.80858,              0.0010232,              0.0010232,              0.0010232
                    151,                0.61837,                0.38581,                0.89316,                0.99886,                      1,                  0.995,                0.89413,                0.50915,                0.31086,                   0.81,              0.0010166,              0.0010166,              0.0010166
                    152,                 0.6394,                0.37877,                0.88444,                0.99884,                      1,                  0.995,                0.89803,                0.49717,                0.30998,                0.80745,                0.00101,                0.00101,                0.00101
                    153,                0.63603,                0.37875,                0.90076,                0.99885,                      1,                  0.995,                 0.9004,                0.47194,                0.30743,                0.80065,              0.0010034,              0.0010034,              0.0010034
                    154,                0.64017,                0.38101,                 0.9067,                0.99889,                      1,                  0.995,                0.89362,                0.46959,                0.29811,                0.79925,              0.0009968,              0.0009968,              0.0009968
                    155,                0.59394,                0.37797,                0.88439,                0.99891,                      1,                  0.995,                0.90009,                0.46911,                0.29789,                0.79886,              0.0009902,              0.0009902,              0.0009902
                    156,                0.68843,                0.40045,                0.90193,                 0.9989,                      1,                  0.995,                 0.9057,                0.45972,                0.30324,                0.79634,              0.0009836,              0.0009836,              0.0009836
                    157,                0.57675,                0.37385,                0.88471,                0.99887,                      1,                  0.995,                0.90244,                0.45581,                0.31301,                0.79674,               0.000977,               0.000977,               0.000977
                    158,                0.63236,                0.39531,                0.90766,                 0.9989,                      1,                  0.995,                0.90374,                0.47319,                0.31514,                0.80077,              0.0009704,              0.0009704,              0.0009704
                    159,                 0.6603,                0.39364,                0.91242,                0.99889,                      1,                  0.995,                0.89531,                0.48727,                0.30863,                0.80372,              0.0009638,              0.0009638,              0.0009638
                    160,                0.61316,                0.39373,                0.91329,                0.99889,                      1,                  0.995,                0.89521,                0.47523,                 0.3009,                0.80074,              0.0009572,              0.0009572,              0.0009572
                    161,                0.59102,                0.37681,                0.90168,                0.99887,                      1,                  0.995,                0.90883,                0.46115,                0.29849,                0.79588,              0.0009506,              0.0009506,              0.0009506
                    162,                0.64257,                0.41687,                0.95669,                0.99882,                      1,                  0.995,                0.89815,                0.48183,                0.31015,                0.79835,               0.000944,               0.000944,               0.000944
                    163,                 0.6337,                0.39806,                0.90511,                0.99878,                      1,                  0.995,                0.89881,                0.49079,                0.31535,                0.79959,              0.0009374,              0.0009374,              0.0009374
