                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8307,                 3.7392,                 2.3262,                0.00105,                0.32075,                0.00111,                0.00017,                 3.5104,                 4.1092,                 3.2102,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.7091,                 3.5466,                 2.1947,                0.00265,                0.50943,                0.00439,                0.00084,                 3.3478,                 4.0028,                 3.1003,             0.00013954,             0.00013954,             0.00013954
                      3,                 2.3654,                 2.9486,                 1.9342,                0.00291,                0.45283,                0.00429,                0.00107,                 3.2656,                 3.9702,                 3.0677,             0.00021855,             0.00021855,             0.00021855
                      4,                 1.8353,                  2.122,                 1.6574,                0.00291,                0.49057,                0.07026,                0.01243,                 3.1925,                 3.8611,                 2.9278,             0.00029703,             0.00029703,             0.00029703
                      5,                 1.7385,                 1.9778,                 1.5015,                0.00262,                 0.4717,                0.22535,                0.03895,                 3.2226,                 3.8103,                 2.8659,             0.00037498,             0.00037498,             0.00037498
                      6,                 1.5581,                 1.6765,                 1.3628,                0.00268,                0.49057,                0.21999,                 0.0406,                 3.2525,                 3.7538,                 2.7862,             0.00045241,             0.00045241,             0.00045241
                      7,                 1.3506,                 1.4372,                  1.303,                0.00261,                 0.4717,                0.09121,                0.01941,                 3.1909,                  3.725,                 2.6949,             0.00052931,             0.00052931,             0.00052931
                      8,                 1.2894,                 1.2955,                 1.2217,                0.00256,                 0.4717,                0.05629,                0.01452,                 3.0401,                 3.6665,                 2.5907,             0.00060568,             0.00060568,             0.00060568
                      9,                 1.1545,                 1.1766,                 1.1457,                0.00308,                0.58491,                0.12636,                0.03846,                 2.8498,                 3.6584,                  2.464,             0.00068152,             0.00068152,             0.00068152
                     10,                 1.2449,                 1.1196,                 1.1679,                0.00395,                0.73585,                0.22306,                0.07565,                  2.648,                  3.531,                 2.2211,             0.00075683,             0.00075683,             0.00075683
                     11,                 1.2163,                 1.1238,                 1.1394,                      1,                0.03618,                 0.3388,                0.11733,                 2.3438,                  3.189,                 1.8405,             0.00083162,             0.00083162,             0.00083162
                     12,                 1.0947,                 1.0228,                 1.0393,                0.00534,                 0.9434,                0.60166,                0.29635,                 2.0362,                 2.8653,                 1.5464,             0.00090588,             0.00090588,             0.00090588
                     13,                 1.0235,                0.97707,                 1.0341,                      1,                0.41313,                0.83152,                0.51314,                 1.6562,                  2.369,                 1.2725,             0.00097961,             0.00097961,             0.00097961
                     14,                 1.0725,                0.87981,                 1.0354,                      1,                0.67505,                0.89402,                0.59053,                 1.4501,                 1.9246,                 1.1435,              0.0010528,              0.0010528,              0.0010528
                     15,                 1.0719,                0.90361,                 1.0624,                0.97452,                0.86792,                0.94287,                0.66324,                 1.2446,                 1.2695,                 1.0431,              0.0011255,              0.0011255,              0.0011255
                     16,                  1.039,                 0.8728,                 1.0295,                      1,                0.88434,                0.94822,                0.65382,                 1.2703,                 1.1923,                 1.0433,              0.0011976,              0.0011976,              0.0011976
                     17,                 1.0167,                0.87487,                 1.0345,                      1,                 0.9397,                0.97782,                0.68655,                 1.1726,                 1.0851,                 1.0081,              0.0012692,              0.0012692,              0.0012692
                     18,                 1.0147,                0.84452,                0.99962,                      1,                0.95111,                0.99271,                0.76052,                0.95557,                0.93142,                0.94811,              0.0013403,              0.0013403,              0.0013403
                     19,                 1.0248,                0.84614,                 1.0415,                0.99642,                0.96226,                0.99426,                0.76553,                0.95491,                0.83916,                0.94321,              0.0014109,              0.0014109,              0.0014109
                     20,                 1.0693,                0.85887,                 1.0509,                0.97985,                0.98113,                0.99426,                 0.7462,                 1.0207,                0.80625,                0.96042,              0.0014809,              0.0014809,              0.0014809
                     21,                 1.1108,                0.85017,                 1.0477,                0.98112,                0.98032,                0.99388,                0.70637,                 1.0655,                0.83026,                0.96856,              0.0015504,              0.0015504,              0.0015504
                     22,                0.97865,                0.87215,                 1.0638,                0.97633,                      1,                0.99481,                0.75704,                0.93197,                0.75209,                0.92733,              0.0016194,              0.0016194,              0.0016194
                     23,                0.98508,                0.84826,                 1.0065,                 0.9957,                      1,                  0.995,                0.80314,                0.84319,                0.73727,                0.90522,              0.0016879,              0.0016879,              0.0016879
                     24,                0.95215,                0.74579,                0.99188,                      1,                0.98075,                  0.995,                0.79171,                0.84985,                0.74748,                0.91516,              0.0017558,              0.0017558,              0.0017558
                     25,                 1.0016,                0.82439,                 1.0264,                0.99701,                      1,                  0.995,                0.77563,                0.87334,                0.75966,                0.92157,              0.0018232,              0.0018232,              0.0018232
                     26,                0.87397,                0.75121,                 0.9721,                0.99807,                      1,                  0.995,                0.78569,                0.87202,                0.73266,                 0.9236,               0.001835,               0.001835,               0.001835
                     27,                0.89414,                0.71516,                0.99288,                0.99918,                      1,                  0.995,                0.80373,                0.82781,                0.67329,                0.90689,               0.001835,               0.001835,               0.001835
                     28,                0.88995,                0.71846,                0.95075,                0.99872,                      1,                  0.995,                0.81002,                0.79303,                0.62587,                0.89487,              0.0018284,              0.0018284,              0.0018284
                     29,                 0.9485,                0.72477,                  1.009,                0.99865,                      1,                  0.995,                0.81043,                0.80648,                0.65287,                0.90637,              0.0018218,              0.0018218,              0.0018218
                     30,                0.92271,                0.73365,                0.99694,                0.99808,                      1,                  0.995,                0.79167,                0.85202,                0.69339,                0.92256,              0.0018152,              0.0018152,              0.0018152
                     31,                0.92518,                0.72739,                0.99349,                0.99808,                      1,                  0.995,                0.77675,                0.85089,                0.68714,                 0.9104,              0.0018086,              0.0018086,              0.0018086
                     32,                0.90349,                0.71584,                0.96464,                0.99847,                      1,                  0.995,                0.78268,                 0.7998,                0.64576,                0.89594,               0.001802,               0.001802,               0.001802
                     33,                0.90823,                0.69288,                0.97799,                0.99865,                      1,                  0.995,                0.77337,                0.79675,                0.62688,                0.89832,              0.0017954,              0.0017954,              0.0017954
                     34,                 0.9032,                0.72609,                0.97846,                0.99819,                      1,                  0.995,                0.76973,                0.80506,                0.62626,                0.89417,              0.0017888,              0.0017888,              0.0017888
                     35,                0.86209,                0.66522,                0.94851,                0.99807,                      1,                  0.995,                0.79605,                0.77168,                0.63375,                0.87701,              0.0017822,              0.0017822,              0.0017822
                     36,                0.80036,                0.62393,                0.97675,                0.99845,                      1,                  0.995,                0.78466,                0.78586,                0.63717,                0.88039,              0.0017756,              0.0017756,              0.0017756
                     37,                0.88088,                 0.6611,                0.99859,                0.99854,                      1,                  0.995,                 0.7784,                0.80307,                0.63062,                0.88393,               0.001769,               0.001769,               0.001769
                     38,                0.89175,                0.62652,                0.95729,                0.99883,                      1,                  0.995,                0.80849,                0.74965,                0.60448,                0.86393,              0.0017624,              0.0017624,              0.0017624
                     39,                0.90691,                0.63354,                 1.0082,                0.99895,                      1,                  0.995,                0.80871,                0.71595,                0.58662,                0.85594,              0.0017558,              0.0017558,              0.0017558
                     40,                0.85499,                0.64747,                0.97074,                0.99903,                      1,                  0.995,                0.81864,                0.71407,                0.55646,                0.85435,              0.0017492,              0.0017492,              0.0017492
                     41,                0.86629,                0.67234,                 1.0099,                0.99885,                      1,                  0.995,                 0.8109,                0.69937,                0.55189,                0.85271,              0.0017426,              0.0017426,              0.0017426
                     42,                0.81259,                0.60881,                0.96385,                0.99871,                      1,                  0.995,                0.82139,                0.73303,                0.54482,                0.86491,               0.001736,               0.001736,               0.001736
                     43,                0.90163,                0.62656,                0.96698,                0.99877,                      1,                  0.995,                0.83149,                0.74584,                0.54086,                0.87018,              0.0017294,              0.0017294,              0.0017294
                     44,                0.82252,                0.58784,                0.93038,                 0.9987,                      1,                  0.995,                0.83344,                0.73552,                0.52705,                0.86925,              0.0017228,              0.0017228,              0.0017228
                     45,                0.85138,                0.59703,                0.96099,                0.99876,                      1,                  0.995,                0.82808,                0.70586,                 0.4927,                 0.8604,              0.0017162,              0.0017162,              0.0017162
                     46,                0.79437,                0.61017,                0.94276,                0.99876,                      1,                  0.995,                0.81798,                 0.7073,                0.48487,                 0.8593,              0.0017096,              0.0017096,              0.0017096
                     47,                0.90141,                0.60359,                0.97147,                0.99866,                      1,                  0.995,                0.80556,                0.73955,                0.50756,                0.87215,               0.001703,               0.001703,               0.001703
                     48,                0.76418,                0.57926,                0.92612,                0.99868,                      1,                  0.995,                0.81014,                0.74784,                0.51181,                0.87854,              0.0016964,              0.0016964,              0.0016964
                     49,                0.83985,                0.61451,                0.97521,                0.99888,                      1,                  0.995,                0.80292,                0.72228,                0.49892,                0.86876,              0.0016898,              0.0016898,              0.0016898
                     50,                0.82183,                0.60879,                0.95471,                0.99884,                      1,                  0.995,                0.81716,                0.69556,                0.47853,                0.86553,              0.0016832,              0.0016832,              0.0016832
